gauge_index,gauge,history,exact_conjugacy,cycle_type_preserved,decoded_feedback_preserved
0,0 1 2 3,AABB,True,True,True
0,0 1 2 3,ABAB,True,True,True
0,0 1 2 3,ABBA,True,True,True
0,0 1 2 3,BAAB,True,True,True
0,0 1 2 3,BABA,True,True,True
0,0 1 2 3,BBAA,True,True,True
1,0 1 3 2,AABB,True,True,True
1,0 1 3 2,ABAB,True,True,True
1,0 1 3 2,ABBA,True,True,True
1,0 1 3 2,BAAB,True,True,True
1,0 1 3 2,BABA,True,True,True
1,0 1 3 2,BBAA,True,True,True
2,0 2 1 3,AABB,True,True,True
2,0 2 1 3,ABAB,True,True,True
2,0 2 1 3,ABBA,True,True,True
2,0 2 1 3,BAAB,True,True,True
2,0 2 1 3,BABA,True,True,True
2,0 2 1 3,BBAA,True,True,True
3,0 2 3 1,AABB,True,True,True
3,0 2 3 1,ABAB,True,True,True
3,0 2 3 1,ABBA,True,True,True
3,0 2 3 1,BAAB,True,True,True
3,0 2 3 1,BABA,True,True,True
3,0 2 3 1,BBAA,True,True,True
4,0 3 1 2,AABB,True,True,True
4,0 3 1 2,ABAB,True,True,True
4,0 3 1 2,ABBA,True,True,True
4,0 3 1 2,BAAB,True,True,True
4,0 3 1 2,BABA,True,True,True
4,0 3 1 2,BBAA,True,True,True
5,0 3 2 1,AABB,True,True,True
5,0 3 2 1,ABAB,True,True,True
5,0 3 2 1,ABBA,True,True,True
5,0 3 2 1,BAAB,True,True,True
5,0 3 2 1,BABA,True,True,True
5,0 3 2 1,BBAA,True,True,True
6,1 0 2 3,AABB,True,True,True
6,1 0 2 3,ABAB,True,True,True
6,1 0 2 3,ABBA,True,True,True
6,1 0 2 3,BAAB,True,True,True
6,1 0 2 3,BABA,True,True,True
6,1 0 2 3,BBAA,True,True,True
7,1 0 3 2,AABB,True,True,True
7,1 0 3 2,ABAB,True,True,True
7,1 0 3 2,ABBA,True,True,True
7,1 0 3 2,BAAB,True,True,True
7,1 0 3 2,BABA,True,True,True
7,1 0 3 2,BBAA,True,True,True
8,1 2 0 3,AABB,True,True,True
8,1 2 0 3,ABAB,True,True,True
8,1 2 0 3,ABBA,True,True,True
8,1 2 0 3,BAAB,True,True,True
8,1 2 0 3,BABA,True,True,True
8,1 2 0 3,BBAA,True,True,True
9,1 2 3 0,AABB,True,True,True
9,1 2 3 0,ABAB,True,True,True
9,1 2 3 0,ABBA,True,True,True
9,1 2 3 0,BAAB,True,True,True
9,1 2 3 0,BABA,True,True,True
9,1 2 3 0,BBAA,True,True,True
10,1 3 0 2,AABB,True,True,True
10,1 3 0 2,ABAB,True,True,True
10,1 3 0 2,ABBA,True,True,True
10,1 3 0 2,BAAB,True,True,True
10,1 3 0 2,BABA,True,True,True
10,1 3 0 2,BBAA,True,True,True
11,1 3 2 0,AABB,True,True,True
11,1 3 2 0,ABAB,True,True,True
11,1 3 2 0,ABBA,True,True,True
11,1 3 2 0,BAAB,True,True,True
11,1 3 2 0,BABA,True,True,True
11,1 3 2 0,BBAA,True,True,True
12,2 0 1 3,AABB,True,True,True
12,2 0 1 3,ABAB,True,True,True
12,2 0 1 3,ABBA,True,True,True
12,2 0 1 3,BAAB,True,True,True
12,2 0 1 3,BABA,True,True,True
12,2 0 1 3,BBAA,True,True,True
13,2 0 3 1,AABB,True,True,True
13,2 0 3 1,ABAB,True,True,True
13,2 0 3 1,ABBA,True,True,True
13,2 0 3 1,BAAB,True,True,True
13,2 0 3 1,BABA,True,True,True
13,2 0 3 1,BBAA,True,True,True
14,2 1 0 3,AABB,True,True,True
14,2 1 0 3,ABAB,True,True,True
14,2 1 0 3,ABBA,True,True,True
14,2 1 0 3,BAAB,True,True,True
14,2 1 0 3,BABA,True,True,True
14,2 1 0 3,BBAA,True,True,True
15,2 1 3 0,AABB,True,True,True
15,2 1 3 0,ABAB,True,True,True
15,2 1 3 0,ABBA,True,True,True
15,2 1 3 0,BAAB,True,True,True
15,2 1 3 0,BABA,True,True,True
15,2 1 3 0,BBAA,True,True,True
16,2 3 0 1,AABB,True,True,True
16,2 3 0 1,ABAB,True,True,True
16,2 3 0 1,ABBA,True,True,True
16,2 3 0 1,BAAB,True,True,True
16,2 3 0 1,BABA,True,True,True
16,2 3 0 1,BBAA,True,True,True
17,2 3 1 0,AABB,True,True,True
17,2 3 1 0,ABAB,True,True,True
17,2 3 1 0,ABBA,True,True,True
17,2 3 1 0,BAAB,True,True,True
17,2 3 1 0,BABA,True,True,True
17,2 3 1 0,BBAA,True,True,True
18,3 0 1 2,AABB,True,True,True
18,3 0 1 2,ABAB,True,True,True
18,3 0 1 2,ABBA,True,True,True
18,3 0 1 2,BAAB,True,True,True
18,3 0 1 2,BABA,True,True,True
18,3 0 1 2,BBAA,True,True,True
19,3 0 2 1,AABB,True,True,True
19,3 0 2 1,ABAB,True,True,True
19,3 0 2 1,ABBA,True,True,True
19,3 0 2 1,BAAB,True,True,True
19,3 0 2 1,BABA,True,True,True
19,3 0 2 1,BBAA,True,True,True
20,3 1 0 2,AABB,True,True,True
20,3 1 0 2,ABAB,True,True,True
20,3 1 0 2,ABBA,True,True,True
20,3 1 0 2,BAAB,True,True,True
20,3 1 0 2,BABA,True,True,True
20,3 1 0 2,BBAA,True,True,True
21,3 1 2 0,AABB,True,True,True
21,3 1 2 0,ABAB,True,True,True
21,3 1 2 0,ABBA,True,True,True
21,3 1 2 0,BAAB,True,True,True
21,3 1 2 0,BABA,True,True,True
21,3 1 2 0,BBAA,True,True,True
22,3 2 0 1,AABB,True,True,True
22,3 2 0 1,ABAB,True,True,True
22,3 2 0 1,ABBA,True,True,True
22,3 2 0 1,BAAB,True,True,True
22,3 2 0 1,BABA,True,True,True
22,3 2 0 1,BBAA,True,True,True
23,3 2 1 0,AABB,True,True,True
23,3 2 1 0,ABAB,True,True,True
23,3 2 1 0,ABBA,True,True,True
23,3 2 1 0,BAAB,True,True,True
23,3 2 1 0,BABA,True,True,True
23,3 2 1 0,BBAA,True,True,True
