pair_id,family,A_reference_sha256,A_holonomy_sha256,B_reference_sha256,B_holonomy_sha256,phase_a_exact_match,phase_b_exact_match
P2000,0,cc8cacfe5032e00656e23fd71981b47868696828ee58578967fc8d85017f436f,cc8cacfe5032e00656e23fd71981b47868696828ee58578967fc8d85017f436f,0d53f1a8a6ecd778b99afa798ed17c8749cc62d822bf95a1d88378b9f97078ee,0d53f1a8a6ecd778b99afa798ed17c8749cc62d822bf95a1d88378b9f97078ee,True,True
P2001,0,f326c31e57e0fe45101c053d6bdc83f48edc0b408acb29a90370a9456bd832b1,f326c31e57e0fe45101c053d6bdc83f48edc0b408acb29a90370a9456bd832b1,634176d2e554f1eac619e21e6d2b097d166cda897088666fe62660079ffa60ed,634176d2e554f1eac619e21e6d2b097d166cda897088666fe62660079ffa60ed,True,True
P2002,0,1721f1ab1ee6159f12baeb31cfdee10f5eb81a7929f0f3ca6dfd691cfcbd9542,1721f1ab1ee6159f12baeb31cfdee10f5eb81a7929f0f3ca6dfd691cfcbd9542,c0611ac0857a64d465a536a64c700f7f206575b935f3b260c19a441a35ad499b,c0611ac0857a64d465a536a64c700f7f206575b935f3b260c19a441a35ad499b,True,True
P2003,0,24270cf1bbfdc15bb92747e200322369eeb703b120f9a2f0bf911116d99801c9,24270cf1bbfdc15bb92747e200322369eeb703b120f9a2f0bf911116d99801c9,df282d9f2934afb30b17e907140acba60d093a3d0eaac768ce3aaaf53a8ebd6b,df282d9f2934afb30b17e907140acba60d093a3d0eaac768ce3aaaf53a8ebd6b,True,True
P2004,0,eb1ceffd50b44748304250c7624d9d5a4c6ec4e11b381bcd3586d85d684e394a,eb1ceffd50b44748304250c7624d9d5a4c6ec4e11b381bcd3586d85d684e394a,3843550367dad988cf45d5cf57d2ecb752ff0e701754440bffa65b6dffb08a4e,3843550367dad988cf45d5cf57d2ecb752ff0e701754440bffa65b6dffb08a4e,True,True
P2005,0,46dbf4cf0f0a042ec30e334941d396f0d9e8485c51fdd21a86885fa55130422f,46dbf4cf0f0a042ec30e334941d396f0d9e8485c51fdd21a86885fa55130422f,25882a087c1a96b76475087d756e24a79d0e2f0ad5a6e329c1d4685f63c153b3,25882a087c1a96b76475087d756e24a79d0e2f0ad5a6e329c1d4685f63c153b3,True,True
P2006,0,cd9e4ace572af245dc4db4905fa1b22953449c145cbb6fd4326a09b197592747,cd9e4ace572af245dc4db4905fa1b22953449c145cbb6fd4326a09b197592747,b4f2e98b095a60a3afa8bafd35981c7a7a8a5ba39e341c2a45c4b7b7c9d61125,b4f2e98b095a60a3afa8bafd35981c7a7a8a5ba39e341c2a45c4b7b7c9d61125,True,True
P2007,0,29e6f6958cbdc8791789c6d76968170dcaa77e6c7aa731cd378844b366e2808d,29e6f6958cbdc8791789c6d76968170dcaa77e6c7aa731cd378844b366e2808d,71f9ce31af62b6784e016b29db1cb128a37ebef654c0cb757cf6fe6381db917b,71f9ce31af62b6784e016b29db1cb128a37ebef654c0cb757cf6fe6381db917b,True,True
P2008,0,7c982579dbd62bd202e315d3c2dc32518802b286c441fc886498facdd2bd0d60,7c982579dbd62bd202e315d3c2dc32518802b286c441fc886498facdd2bd0d60,e86924a444c0fbd37b6cece260dd9a17cd9125b5b4a01ef8cf9cb4b2fc1f27b7,e86924a444c0fbd37b6cece260dd9a17cd9125b5b4a01ef8cf9cb4b2fc1f27b7,True,True
P2009,0,f5b3de27eeeddfcf2314806446643545d936194a8ab77882744dfbf353a0109f,f5b3de27eeeddfcf2314806446643545d936194a8ab77882744dfbf353a0109f,eb1e12152eba2add8859fda42a21b2a157ad2e0b2e10e80c43e7797397ae65f9,eb1e12152eba2add8859fda42a21b2a157ad2e0b2e10e80c43e7797397ae65f9,True,True
