equivalence_key,member_count,top_member_count,canonical_candidate_id,maximum_score_in_class,selected
"0,0",1,0,a00_m00,0;0;7;0;1;1,False
"0,1",8,0,a00_m01,1;0;12;0;2;1,False
"0,2",4,0,a00_m02,0;0;11;0;2;1,False
"0,3",4,0,a00_m03,0;0;11;0;2;1,False
"0,4",4,0,a00_m04,0;0;12;0;2;1,False
"0,6",2,0,a00_m06,0;0;10;0;2;1,False
"1,1",4,0,a01_m01,1;0;10;0;3;12,False
"1,2",8,0,a01_m02,1;1;12;6;4;6,False
"1,3",8,0,a01_m03,1;1;12;6;4;4,False
"1,4",8,0,a01_m04,1;1;12;6;4;3,False
"1,5",4,4,a01_m05,1;1;12;6;4;12,False
"1,6",8,0,a01_m06,1;0;12;0;4;2,False
"1,7",4,4,a01_m07,1;1;12;6;4;12,False
"1,8",8,0,a01_m08,1;1;12;6;4;3,False
"1,9",8,0,a01_m09,1;1;12;6;4;4,False
"1,10",8,0,a01_m10,1;1;12;6;4;6,False
"1,11",4,0,a01_m11,1;0;10;0;3;12,False
"2,2",2,0,a02_m02,0;0;11;0;3;6,False
"2,3",8,0,a02_m03,1;1;11;6;4;4,False
"2,4",4,0,a02_m04,0;1;12;6;4;3,False
"2,6",4,0,a02_m06,0;0;12;0;4;2,False
"2,8",4,0,a02_m08,0;1;12;6;4;3,False
"2,10",2,0,a02_m10,0;0;11;0;3;6,False
"3,3",2,0,a03_m03,0;0;10;0;3;4,False
"3,4",8,0,a03_m04,1;1;11;6;4;3,False
"3,6",4,0,a03_m06,0;0;11;0;4;2,False
"3,9",2,0,a03_m09,0;0;10;0;3;4,False
"4,4",2,0,a04_m04,0;0;11;0;3;3,False
"4,6",4,0,a04_m06,0;0;11;0;4;2,False
"4,8",2,0,a04_m08,0;0;11;0;3;3,False
"6,6",1,0,a06_m06,0;0;7;0;2;2,False
