category,intervention,detail,task_valid,d_plus,d_minus,l_plus,l_minus,l_combined,cit,constant_one,timing_oracle,exclusive_relational_detection
admissible,baseline,"cw=0;ccw=0;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,exchange_orientation_labels,"cw=0;ccw=0;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_1,"cw=0;ccw=0;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_2,"cw=0;ccw=0;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,baseline,"cw=0;ccw=0;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,exchange_orientation_labels,"cw=0;ccw=0;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_1,"cw=0;ccw=0;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_2,"cw=0;ccw=0;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,baseline,"cw=0;ccw=1;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,exchange_orientation_labels,"cw=0;ccw=1;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_1,"cw=0;ccw=1;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_2,"cw=0;ccw=1;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,baseline,"cw=0;ccw=1;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,exchange_orientation_labels,"cw=0;ccw=1;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_1,"cw=0;ccw=1;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_2,"cw=0;ccw=1;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,baseline,"cw=0;ccw=2;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,exchange_orientation_labels,"cw=0;ccw=2;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_1,"cw=0;ccw=2;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_2,"cw=0;ccw=2;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,baseline,"cw=0;ccw=2;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,exchange_orientation_labels,"cw=0;ccw=2;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_1,"cw=0;ccw=2;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_2,"cw=0;ccw=2;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,baseline,"cw=0;ccw=3;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,exchange_orientation_labels,"cw=0;ccw=3;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_1,"cw=0;ccw=3;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_2,"cw=0;ccw=3;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
admissible,baseline,"cw=0;ccw=3;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,exchange_orientation_labels,"cw=0;ccw=3;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_1,"cw=0;ccw=3;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,cyclic_relabel_2,"cw=0;ccw=3;control=(0, 1)",1,111,111,1,1,1,1,1,1,0
admissible,baseline,"cw=0;ccw=4;control=(1, 0)",1,111,111,1,1,1,1,1,1,0
