sequence,time,fault_active,l_plus,l_minus,l_combined,cit,constant_one,timing_oracle
temporary_local_fault,0,0,1,1,1,1,1,1
temporary_local_fault,1,0,1,1,1,1,1,1
temporary_local_fault,2,1,0,1,0,0,1,0
temporary_local_fault,3,1,0,1,0,0,1,0
temporary_local_fault,4,0,1,1,1,1,1,1
temporary_local_fault,5,0,1,1,1,1,1,1
temporary_relation_fault,0,0,1,1,1,1,1,1
temporary_relation_fault,1,0,1,1,1,1,1,1
temporary_relation_fault,2,1,1,1,1,1,1,0
temporary_relation_fault,3,1,1,1,1,1,1,0
temporary_relation_fault,4,0,1,1,1,1,1,1
temporary_relation_fault,5,0,1,1,1,1,1,1
