candidate_id,add_step,subtract_step,multiply_step,divide_step,full_group,four_distinct_steps,translated_mode_union_size,minimum_pairwise_mode_symmetric_difference,minimum_development_path_coverage,minimum_primitive_order,development_path_coverages,score,equivalence_key,top_score,selected_equivalence_class
a00_m00,0,0,0,0,False,False,7,0,1,1,1;1;1;1,0;0;7;0;1;1,"0,0",False,False
a00_m01,0,0,1,11,True,False,12,0,2,1,2;4;3;3,1;0;12;0;2;1,"0,1",False,False
a00_m02,0,0,2,10,False,False,11,0,2,1,2;4;3;3,0;0;11;0;2;1,"0,2",False,False
a00_m03,0,0,3,9,False,False,11,0,2,1,2;4;3;3,0;0;11;0;2;1,"0,3",False,False
a00_m04,0,0,4,8,False,False,12,0,2,1,2;3;3;3,0;0;12;0;2;1,"0,4",False,False
a00_m05,0,0,5,7,True,False,12,0,2,1,2;4;3;3,1;0;12;0;2;1,"0,1",False,False
a00_m06,0,0,6,6,False,False,10,0,2,1,2;2;2;2,0;0;10;0;2;1,"0,6",False,False
a00_m07,0,0,7,5,True,False,12,0,2,1,2;4;3;3,1;0;12;0;2;1,"0,1",False,False
a00_m08,0,0,8,4,False,False,12,0,2,1,2;3;3;3,0;0;12;0;2;1,"0,4",False,False
a00_m09,0,0,9,3,False,False,11,0,2,1,2;4;3;3,0;0;11;0;2;1,"0,3",False,False
a00_m10,0,0,10,2,False,False,11,0,2,1,2;4;3;3,0;0;11;0;2;1,"0,2",False,False
a00_m11,0,0,11,1,True,False,12,0,2,1,2;4;3;3,1;0;12;0;2;1,"0,1",False,False
a01_m00,1,11,0,0,True,False,12,0,2,1,2;4;3;3,1;0;12;0;2;1,"0,1",False,False
a01_m01,1,11,1,11,True,False,10,0,3,12,3;7;5;3,1;0;10;0;3;12,"1,1",False,False
a01_m02,1,11,2,10,True,True,12,6,4,6,4;10;7;5,1;1;12;6;4;6,"1,2",False,False
a01_m03,1,11,3,9,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,3",False,False
a01_m04,1,11,4,8,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,4",False,False
a01_m05,1,11,5,7,True,True,12,6,4,12,4;9;7;6,1;1;12;6;4;12,"1,5",True,False
a01_m06,1,11,6,6,True,False,12,0,4,2,4;8;6;5,1;0;12;0;4;2,"1,6",False,False
a01_m07,1,11,7,5,True,True,12,6,4,12,4;9;8;5,1;1;12;6;4;12,"1,7",True,False
a01_m08,1,11,8,4,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,8",False,False
a01_m09,1,11,9,3,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,9",False,False
a01_m10,1,11,10,2,True,True,12,6,4,6,4;10;6;6,1;1;12;6;4;6,"1,10",False,False
a01_m11,1,11,11,1,True,False,10,0,3,12,3;7;4;5,1;0;10;0;3;12,"1,11",False,False
a02_m00,2,10,0,0,False,False,11,0,2,1,2;4;3;3,0;0;11;0;2;1,"0,2",False,False
